,MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
153,0.0,0.0,83.33333333,30,0,20,0.25,9
154,123.0,-13.61,0.0,20,1,3,1.0,17
155,123.56,-13.8,0.0,30,2,15,4.0,12
156,119.89,-12.46,0.0,60,1,15,5.25,17
157,122.0,-13.25,0.0,40,1,1,7.0,17
158,120.85,-12.83,0.0,180,1,8,4.25,20
159,0.0,0.0,83.33333333,120,0,20,9.75,2
160,121.43,-13.04,0.0,140,1,8,1.25,9
161,0.0,0.0,83.33333333,50,0,20,4.25,2
162,118.96,-12.09,0.0,90,1,6,7.75,2
163,0.0,0.0,83.33333333,70,0,18,7.25,4
164,120.11,-12.54,0.0,60,1,20,7.25,2
165,117.67,-11.55,0.0,20,2,2,9.75,10
166,0.0,0.0,83.33333333,120,0,11,7.0,5
167,118.37,-11.85,0.0,160,2,6,1.75,13
168,119.67,-12.37,0.0,60,2,19,7.0,14
169,0.0,0.0,83.33333333,100,0,9,2.75,19
170,118.77,-12.01,0.0,130,1,20,6.0,19
171,119.54,-12.32,0.0,130,2,19,9.25,19
172,120.07,-12.53,0.0,100,2,13,4.0,18
173,119.22,-12.19,0.0,180,2,4,3.0,3
174,119.83,-12.43,0.0,120,1,18,2.5,5
175,119.53,-12.31,0.0,170,2,17,7.0,13
176,101.58,-1.51,0.0,190,0,19,6.0,5
177,120.7,-12.77,0.0,180,2,2,8.0,9
178,0.0,0.0,83.33333333,120,0,17,5.75,11
179,100.83,-0.81,0.0,120,0,6,9.25,6
180,120.57,-12.72,0.0,200,2,15,6.25,15
181,133.57,-10.76,16.66666667,140,2,1,0.0,17
182,119.47,-12.29,0.0,100,1,16,8.5,10
183,119.63,-12.35,0.0,90,1,20,9.75,6
184,117.0,-11.26,0.0,60,1,11,8.25,10
185,118.38,-11.85,0.0,70,2,6,9.75,13
186,122.22,-13.33,0.0,60,2,8,6.75,19
187,100.56,-0.55,0.0,180,0,7,8.75,16
188,121.41,-13.04,0.0,90,2,8,5.75,15
189,120.96,-12.87,0.0,90,2,17,3.5,18
190,120.73,-12.78,0.0,200,1,2,7.5,17
191,122.0,-13.25,0.0,120,1,9,5.25,2
192,119.89,-12.46,0.0,190,2,2,4.5,4
193,135.5,-7.56,16.66666667,100,0,1,0.0,8
194,110.0,-7.69,0.0,10,0,6,4.0,2
195,0.0,0.0,83.33333333,70,0,11,5.0,11
196,118.19,-11.77,0.0,70,2,3,0.75,19
197,119.62,-12.35,0.0,140,2,4,6.75,13
198,118.28,-11.81,0.0,190,2,9,2.25,7
199,120.27,-12.6,0.0,150,2,16,6.5,11
200,121.67,-13.13,0.0,120,2,4,3.0,12
201,119.5,-12.3,0.0,160,2,14,5.5,19
202,119.94,-12.48,0.0,120,1,4,5.5,15
203,119.45,-12.28,0.0,110,1,7,5.25,18
204,119.62,-12.35,0.0,70,2,13,1.75,14
205,101.54,-1.47,0.0,130,0,6,0.75,9
206,120.67,-12.76,0.0,180,1,13,8.75,5
207,118.58,-11.93,0.0,160,2,3,9.5,1
208,0.0,0.0,83.33333333,110,0,4,9.0,3
209,121.56,-13.09,0.0,30,2,12,5.5,5
210,120.43,-12.67,0.0,140,2,2,4.0,2
211,119.05,-12.12,0.0,70,1,12,1.25,16
212,100.59,-0.58,0.0,170,0,20,0.75,19
213,117.7,-11.56,0.0,90,2,20,3.5,19
214,120.52,-12.7,0.0,90,1,5,7.5,10
215,0.0,0.0,83.33333333,80,0,17,6.75,3
216,120.28,-12.61,0.0,120,1,14,4.0,10
217,120.73,-12.78,0.0,200,2,9,5.5,12
218,120.33,-12.63,0.0,20,2,3,1.5,7
219,121.39,-13.03,0.0,120,2,12,6.5,10
220,101.0,-0.97,0.0,200,0,16,1.25,3
221,122.67,-13.49,0.0,10,1,5,9.0,4
222,120.44,-12.67,0.0,60,2,2,5.25,3
223,120.16,-12.56,0.0,170,2,12,0.25,17
224,0.0,0.0,83.33333333,200,0,6,5.0,3
225,120.24,-12.59,0.0,170,2,13,2.75,9
226,100.56,-0.55,0.0,180,0,1,9.25,5
227,121.0,-12.88,0.0,140,2,9,1.25,6
228,101.11,-0.81,0.0,180,0,5,0.25,14
229,0.0,0.0,83.33333333,130,0,8,1.5,6
230,121.87,-13.2,0.0,50,1,19,7.5,5
231,121.67,-13.13,0.0,100,2,12,1.25,11
232,117.07,-11.29,0.0,50,2,13,9.75,17
233,121.05,-12.9,0.0,70,1,1,5.75,10
234,121.76,-13.17,0.0,170,1,8,8.25,9
235,100.77,-0.75,0.0,130,0,15,4.5,1
236,120.27,-12.6,0.0,100,1,20,5.5,14
237,119.33,-12.24,0.0,50,1,5,7.75,6
238,0.0,0.0,83.33333333,10,0,18,9.5,4
239,116.67,-11.11,0.0,10,1,15,6.25,10
240,0.0,0.0,83.33333333,20,0,5,8.5,19
241,122.0,-13.25,0.0,10,1,15,10.0,12
242,0.0,0.0,83.33333333,100,0,19,5.75,18
243,120.44,-12.67,0.0,60,1,18,10.0,8
244,121.24,-12.97,0.0,70,2,10,1.0,10
245,0.0,0.0,83.33333333,70,0,17,2.0,17
246,120.0,-12.5,0.0,140,1,2,9.5,3
247,101.43,-1.37,0.0,140,0,5,7.25,15
248,120.67,-12.76,0.0,60,1,14,8.25,12
249,101.43,-1.37,0.0,140,0,2,8.5,4
250,0.0,0.0,83.33333333,120,0,18,3.25,11
251,119.52,-12.31,0.0,140,1,2,1.25,9
252,119.19,-12.18,0.0,140,2,9,1.75,13
253,120.63,-12.74,0.0,190,2,13,8.75,4
254,123.56,-13.8,0.0,60,1,20,1.75,17
255,101.88,-1.78,0.0,160,0,3,2.25,16
256,119.07,-12.13,0.0,50,2,20,0.75,19
257,120.81,-12.81,0.0,180,2,13,5.75,4
258,120.55,-12.71,0.0,170,1,18,8.5,11
259,120.1,-12.54,0.0,200,1,1,9.75,13
260,120.37,-12.64,0.0,90,2,13,9.5,20
261,0.0,0.0,83.33333333,60,0,12,8.75,3
262,125.33,-14.39,0.0,10,1,10,6.5,11
263,118.67,-11.97,0.0,40,2,6,7.5,1
264,116.0,-10.81,0.0,10,2,17,6.0,5
265,0.0,0.0,83.33333333,160,0,5,5.0,2
266,0.0,0.0,83.33333333,20,0,20,9.5,13
267,115.33,-10.5,0.0,10,2,3,5.25,1
268,120.06,-12.52,0.0,110,2,16,2.25,16
269,117.47,-11.46,0.0,100,1,10,3.0,15
270,125.48,-15.91,0.0,90,1,2,0.0,12
271,0.0,0.0,83.33333333,180,0,19,2.0,3
272,105.0,-4.35,0.0,20,0,4,3.5,18
273,124.67,-14.18,0.0,10,1,14,8.25,15
274,121.37,-13.02,0.0,180,1,13,2.5,18
275,100.91,-0.88,0.0,110,0,20,10.0,18
276,0.0,0.0,83.33333333,10,0,14,9.0,14
277,0.0,0.0,83.33333333,130,0,8,1.25,1
278,120.0,-12.5,0.0,90,2,20,1.0,7
279,120.77,-12.8,0.0,200,2,9,8.5,14
280,0.0,0.0,83.33333333,180,0,3,1.25,4
281,0.0,0.0,83.33333333,150,0,7,9.0,13
282,119.33,-12.24,0.0,10,2,5,9.0,11
283,120.48,-12.68,0.0,70,2,6,9.25,18
284,118.98,-12.09,0.0,170,1,3,2.5,3
285,120.08,-12.53,0.0,80,2,2,4.5,1
286,119.56,-12.32,0.0,30,2,18,0.75,11
287,120.81,-12.81,0.0,90,1,2,1.75,18
288,120.33,-12.63,0.0,20,1,4,1.5,17
289,117.6,-11.52,0.0,50,2,9,0.75,20
290,120.67,-12.76,0.0,160,2,20,4.25,15
291,120.18,-12.57,0.0,110,1,20,2.25,4
292,0.0,0.0,83.33333333,40,0,7,7.0,18
293,120.2,-12.58,0.0,170,1,1,3.0,16
294,120.22,-12.59,0.0,60,2,19,7.5,15
295,119.64,-12.36,0.0,130,2,4,0.25,5
296,0.0,0.0,83.33333333,200,0,3,6.5,9
297,0.0,0.0,83.33333333,50,0,1,9.75,13
298,120.78,-12.8,0.0,60,1,4,6.5,1
299,100.77,-0.75,0.0,130,0,16,5.25,19
300,120.61,-12.74,0.0,120,2,4,5.5,8
301,119.56,-12.32,0.0,180,1,3,8.0,7
302,119.67,-12.37,0.0,200,2,2,5.75,3
303,121.19,-12.95,0.0,140,2,17,6.5,2
304,119.07,-12.13,0.0,150,2,18,7.75,1
305,0.0,0.0,83.33333333,90,0,19,4.0,8
306,118.06,-11.71,0.0,120,2,20,9.75,2
307,118.31,-11.82,0.0,150,1,14,8.75,3
308,0.0,0.0,83.33333333,120,0,17,8.75,2
309,118.0,-11.69,0.0,20,1,17,2.75,7
310,0.0,0.0,83.33333333,120,0,14,3.5,4
311,121.0,-12.88,0.0,20,1,16,9.25,20
312,119.5,-12.3,0.0,40,2,9,2.5,20
313,119.47,-12.29,0.0,50,2,18,0.5,8
314,0.0,0.0,83.33333333,150,0,17,7.25,15
315,0.0,0.0,83.33333333,10,0,12,7.5,8
316,121.16,-12.94,0.0,150,1,6,5.0,7
317,119.94,-12.48,0.0,120,1,4,8.25,1
318,0.0,0.0,83.33333333,140,0,20,0.0,12
319,120.8,-12.81,0.0,50,1,15,4.25,5
320,122.0,-13.25,0.0,60,1,5,2.25,5
321,119.4,-12.26,0.0,100,2,14,4.75,16
322,101.33,-1.28,0.0,150,0,15,4.5,2
323,0.0,0.0,83.33333333,190,0,17,5.25,4
324,100.53,-0.52,0.0,190,0,6,5.5,11
325,123.67,-13.84,0.0,40,1,19,6.0,12
326,119.92,-12.47,0.0,80,1,17,9.0,15
327,100.71,-0.7,0.0,140,0,11,7.0,9
328,0.0,0.0,83.33333333,70,0,18,7.5,12
329,0.0,0.0,83.33333333,110,0,2,6.75,7
330,120.06,-12.52,0.0,110,2,9,4.75,6
331,120.49,-12.69,0.0,150,1,9,3.25,16
332,121.33,-13.01,0.0,90,1,13,9.25,3
333,0.0,0.0,83.33333333,20,0,16,10.0,4
334,0.0,0.0,83.33333333,120,0,16,9.5,19
335,120.51,-12.7,0.0,170,1,3,8.25,15
336,0.0,0.0,83.33333333,30,0,14,0.75,20
337,119.7,-12.38,0.0,110,2,8,8.0,14
338,119.33,-12.24,0.0,110,1,9,3.5,20
339,120.82,-12.82,0.0,130,2,13,0.0,6
340,118.78,-12.01,0.0,170,1,8,7.5,16
341,119.29,-12.22,0.0,160,2,11,6.75,19
342,0.0,0.0,83.33333333,130,0,6,6.75,7
343,118.67,-11.97,0.0,100,1,5,1.75,3
344,121.5,-13.07,0.0,80,1,14,2.75,11
345,120.55,-12.71,0.0,110,2,9,4.25,18
346,120.12,-12.55,0.0,160,2,14,6.75,15
347,120.56,-12.72,0.0,130,2,12,1.5,8
348,120.96,-12.87,0.0,180,2,8,1.5,20
349,100.67,-0.65,0.0,150,0,18,8.5,19
350,0.0,0.0,83.33333333,20,0,18,4.0,8
351,121.0,-12.88,0.0,80,1,10,0.5,19
352,122.25,-13.34,0.0,80,1,7,9.75,13
353,101.0,-0.97,0.0,200,0,17,8.0,20
354,121.8,-13.18,0.0,170,1,11,7.75,16
355,120.5,-12.69,0.0,160,1,7,7.75,6
356,120.28,-12.61,0.0,190,2,8,4.25,4
357,0.0,0.0,83.33333333,40,0,20,8.5,12
358,100.5,-0.49,0.0,200,0,13,8.25,14
359,121.85,-13.2,0.0,130,1,13,7.25,11
360,121.02,-12.89,0.0,150,2,20,4.75,13
361,120.33,-12.63,0.0,40,2,13,5.5,19
362,118.92,-12.07,0.0,80,2,12,8.5,15
363,118.67,-11.97,0.0,20,1,5,7.0,11
364,0.0,0.0,83.33333333,160,0,18,8.5,4
365,119.82,-12.43,0.0,150,2,14,2.75,3
366,0.0,0.0,83.33333333,80,0,6,1.25,6
367,119.06,-12.13,0.0,170,2,14,4.0,18
368,120.24,-12.59,0.0,170,2,3,3.5,15
369,121.06,-12.91,0.0,170,1,17,9.0,17
370,100.83,-0.81,0.0,120,0,10,1.0,11
371,119.59,-12.34,0.0,130,1,9,2.25,4
372,100.56,-0.55,0.0,180,0,12,2.5,1
373,118.67,-11.97,0.0,70,1,9,2.25,18
374,0.0,0.0,83.33333333,130,0,8,5.0,5
375,119.33,-12.24,0.0,40,1,4,6.0,14
376,120.33,-12.63,0.0,20,1,11,2.0,5
377,0.0,0.0,83.33333333,180,0,14,1.25,5
378,122.27,-13.35,0.0,50,1,16,1.0,17
379,0.0,0.0,83.33333333,80,0,8,0.5,20
380,120.5,-12.69,0.0,40,2,9,0.25,4
381,117.78,-11.59,0.0,30,2,6,5.75,5
382,120.21,-12.58,0.0,160,2,13,2.0,7
383,120.84,-12.82,0.0,190,1,7,1.75,15
384,0.0,0.0,83.33333333,170,0,6,0.0,1
385,121.18,-12.95,0.0,130,1,13,4.0,17
386,117.0,-11.26,0.0,20,2,8,0.0,17
387,119.79,-12.42,0.0,160,1,14,3.0,17
388,120.1,-12.54,0.0,70,2,17,8.0,19
389,121.07,-12.91,0.0,150,2,8,2.25,1
390,120.3,-12.62,0.0,90,1,11,10.0,12
391,119.33,-12.24,0.0,90,1,2,1.25,14
392,120.44,-12.67,0.0,30,2,5,9.75,10
393,120.22,-12.59,0.0,120,1,18,0.25,1
394,0.0,0.0,83.33333333,10,0,11,0.5,16
395,120.36,-12.64,0.0,150,1,10,4.0,9
396,101.11,-1.08,0.0,180,0,4,10.0,9
397,121.38,-13.02,0.0,150,1,4,3.5,7
398,0.0,0.0,83.33333333,90,0,17,8.75,4
399,119.7,-12.38,0.0,110,1,7,8.25,13
400,101.43,-1.37,0.0,140,0,4,8.75,7
401,0.0,0.0,83.33333333,150,0,18,3.25,2
402,120.0,-12.5,0.0,10,1,12,8.5,19
403,100.53,-0.52,0.0,190,0,16,4.75,14
404,118.5,-11.9,0.0,80,1,18,6.0,1
405,100.91,-0.88,0.0,110,0,6,3.75,17
406,101.05,-1.02,0.0,190,0,7,9.25,14
407,120.5,-12.69,0.0,200,1,4,10.0,11
408,120.8,-12.81,0.0,200,2,3,6.25,2
409,120.2,-12.58,0.0,170,2,5,7.25,16
410,0.0,0.0,83.33333333,150,0,12,3.0,1
411,119.29,-12.22,0.0,160,1,15,2.25,9
412,0.0,0.0,83.33333333,80,0,15,5.5,3
413,121.29,-12.99,0.0,160,2,6,1.25,5
414,121.04,-12.9,0.0,180,2,3,2.0,16
415,120.87,-12.83,0.0,100,2,9,5.75,14
416,0.0,0.0,83.33333333,30,0,4,6.0,17
417,120.67,-12.76,0.0,80,1,10,3.25,3
418,0.0,0.0,83.33333333,20,0,16,9.0,7
419,0.0,0.0,83.33333333,30,0,4,6.5,11
420,0.0,0.0,83.33333333,120,0,1,2.75,9
421,118.8,-12.02,0.0,100,1,9,8.75,8
422,101.67,-1.2,0.0,120,0,5,0.0,14
423,115.33,-10.5,0.0,10,1,7,8.25,4
424,116.67,-11.11,0.0,20,2,13,3.0,16
425,0.0,0.0,83.33333333,170,0,16,7.25,6
426,119.05,-12.12,0.0,190,2,19,3.25,20
427,120.48,-12.68,0.0,140,2,2,9.0,5
428,101.54,-1.47,0.0,130,0,19,9.0,1
429,119.27,-12.21,0.0,110,1,9,4.0,9
430,120.7,-12.77,0.0,200,2,10,6.0,9
431,120.67,-12.76,0.0,60,1,13,9.25,3
432,119.0,-12.1,0.0,60,1,15,2.75,17
433,120.44,-12.67,0.0,180,2,18,7.25,8
434,103.33,-3.03,0.0,30,0,15,7.25,9
435,0.0,0.0,83.33333333,30,0,13,9.0,6
436,117.75,-11.58,0.0,160,2,10,1.75,19
437,120.32,-12.62,0.0,190,2,12,9.0,15
438,100.5,-0.49,0.0,200,0,15,7.0,16
439,118.52,-11.9,0.0,90,1,20,1.5,12
440,119.41,-12.27,0.0,180,2,9,4.5,3
441,0.0,0.0,83.33333333,90,0,11,2.5,8
442,121.73,-13.16,0.0,50,1,6,4.75,8
443,123.56,-13.8,0.0,30,2,9,8.75,5
444,0.0,0.0,83.33333333,160,0,7,5.5,19
445,101.82,-1.72,0.0,110,0,12,7.0,18
446,120.33,-12.63,0.0,140,2,18,0.25,17
447,101.67,-1.59,0.0,60,0,7,10.0,6
448,122.0,-13.25,0.0,10,2,8,7.5,2
449,121.22,-12.97,0.0,180,1,3,3.0,17
450,120.04,-12.51,0.0,190,2,19,4.5,1
451,121.03,-12.89,0.0,130,1,14,5.0,16
452,0.0,0.0,83.33333333,40,0,12,3.0,13
453,121.04,-12.9,0.0,90,1,6,8.0,16
454,0.0,0.0,83.33333333,130,0,2,3.0,1
455,120.56,-12.71,0.0,120,2,5,7.75,4
456,120.1,-12.54,0.0,130,2,12,2.0,15
457,120.33,-12.63,0.0,60,1,9,0.75,19
458,118.62,-11.95,0.0,140,2,8,4.0,11
459,0.0,0.0,83.33333333,30,0,6,1.25,5
460,0.0,0.0,83.33333333,130,0,9,7.75,20
461,119.33,-12.24,0.0,10,2,4,4.5,17
462,0.0,0.0,83.33333333,90,0,3,6.5,1
463,114.67,-10.19,0.0,10,1,14,5.75,4
464,0.0,0.0,83.33333333,70,0,5,6.75,16
465,0.0,0.0,83.33333333,10,0,11,5.5,9
466,126.91,-14.54,0.0,130,2,5,0.0,14
467,119.33,-12.33,0.0,180,1,6,0.0,1
468,120.67,-12.76,0.0,70,2,1,4.25,4
469,120.67,-12.76,0.0,150,1,20,10.0,7
470,0.0,0.0,83.33333333,30,0,20,5.75,6
471,118.27,-11.8,0.0,50,1,1,2.25,3
472,120.36,-12.64,0.0,130,2,10,3.25,9
473,118.74,-11.99,0.0,190,2,18,6.0,14
474,0.0,0.0,83.33333333,60,0,6,3.25,13
475,100.91,-0.88,0.0,110,0,17,9.75,17
476,119.83,-12.43,0.0,40,2,8,0.75,5
477,121.33,-13.01,0.0,70,2,9,4.25,14
478,121.6,-13.11,0.0,50,1,5,0.75,16
479,118.0,-11.69,0.0,10,1,18,10.0,18
480,0.0,0.0,83.33333333,30,0,9,3.75,10
481,119.91,-12.47,0.0,150,2,9,8.25,18
482,120.28,-12.61,0.0,190,1,4,4.25,6
483,119.33,-12.24,0.0,30,2,12,7.75,9
484,0.0,0.0,83.33333333,190,0,14,4.5,17
485,121.24,-12.97,0.0,140,2,1,4.5,17
486,0.0,0.0,83.33333333,50,0,3,6.25,17
487,120.0,-12.5,0.0,20,2,5,7.0,8
488,118.17,-11.76,0.0,40,2,5,9.25,7
489,119.89,-12.46,0.0,60,2,1,4.0,20
490,0.0,0.0,83.33333333,140,0,6,7.0,14
491,120.11,-12.54,0.0,60,1,5,9.5,18
492,119.8,-12.42,0.0,170,1,3,2.5,20
493,119.93,-12.47,0.0,90,2,1,0.75,19
494,118.93,-12.07,0.0,50,2,10,7.75,9
495,120.51,-12.7,0.0,130,1,11,0.0,16
496,120.11,-12.54,0.0,180,1,6,1.25,9
497,122.0,-13.25,0.0,30,2,19,6.25,8
498,120.6,-12.73,0.0,100,2,6,1.5,9
499,120.3,-12.62,0.0,200,2,10,4.75,5
500,119.94,-12.48,0.0,120,1,12,2.0,7
501,0.0,0.0,83.33333333,150,0,14,4.75,6
502,101.0,-0.97,0.0,100,0,3,1.25,3
503,100.59,-0.58,0.0,170,0,15,8.75,14
504,0.0,0.0,83.33333333,70,0,17,4.25,9
505,0.0,0.0,83.33333333,40,0,13,6.5,13
506,0.0,0.0,83.33333333,190,0,1,4.5,5
507,118.59,-11.94,0.0,180,2,8,2.75,8
508,0.0,0.0,83.33333333,10,0,11,0.0,20
509,119.9,-12.46,0.0,70,2,16,0.0,18
