,MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
133,72.87,7.8,25.0,130,2,4,6.0,16
134,72.68,7.86,25.0,70,1,12,4.5,15
135,77.63,6.34,0.0,20,2,13,3.75,10
136,75.82,4.61,12.5,30,2,4,2.5,14
137,72.06,8.43,25.0,110,2,6,1.25,11
138,76.67,10.15,0.0,170,2,1,3.5,13
139,72.43,7.94,25.0,150,2,10,8.5,18
140,77.66,6.34,0.0,90,2,3,6.75,9
141,100.0,0.0,37.5,140,0,6,1.5,4
142,74.93,7.16,25.0,200,1,6,9.25,2
143,72.41,7.94,25.0,110,1,19,0.5,15
144,72.56,7.9,25.0,140,1,15,6.0,20
145,74.35,7.34,25.0,190,2,17,7.25,15
146,99.58,0.11,0.0,100,0,13,7.0,15
147,75.91,6.87,0.0,70,1,15,4.25,3
148,100.0,0.0,37.5,120,0,16,4.75,19
149,100.0,0.0,37.5,130,0,14,9.75,10
150,73.56,7.59,25.0,120,1,19,0.25,10
151,70.96,8.39,25.0,150,2,10,4.5,2
152,73.75,7.53,25.0,130,1,4,2.0,7
153,100.0,0.0,37.5,30,0,20,0.25,9
154,76.0,6.84,12.5,20,1,3,1.0,17
155,78.22,6.17,0.0,30,2,15,4.0,12
156,75.69,6.93,0.0,60,1,15,5.25,17
157,73.14,7.72,25.0,40,1,1,7.0,17
158,71.78,8.14,25.0,180,1,8,4.25,20
159,100.0,0.0,37.5,120,0,20,9.75,2
160,72.48,7.92,25.0,140,1,8,1.25,9
161,100.0,0.0,37.5,50,0,20,4.25,2
162,73.9,7.48,25.0,90,1,6,7.75,2
163,100.0,0.0,37.5,70,0,18,7.25,4
164,74.85,7.19,25.0,60,1,20,7.25,2
165,73.79,7.51,25.0,20,2,2,9.75,10
166,100.0,0.0,37.5,120,0,11,7.0,5
167,75.29,7.36,0.0,160,2,6,1.75,13
168,70.18,8.64,25.0,60,2,19,7.0,14
169,100.0,0.0,37.5,100,0,9,2.75,19
170,73.77,7.52,25.0,130,1,20,6.0,19
171,71.34,8.28,25.0,130,2,19,9.25,19
172,74.5,7.3,25.0,100,2,13,4.0,18
173,72.35,9.75,25.0,180,2,4,3.0,3
174,74.03,7.44,25.0,120,1,18,2.5,5
175,74.48,7.3,25.0,170,2,17,7.0,13
176,99.78,0.06,0.0,190,0,19,6.0,5
177,74.05,7.44,25.0,180,2,2,8.0,9
178,100.0,0.0,37.5,120,0,17,5.75,11
179,100.0,0.0,37.5,120,0,6,9.25,6
180,72.14,8.03,25.0,200,2,15,6.25,15
181,81.43,-16.43,12.5,140,2,1,0.0,17
182,76.71,6.62,0.0,100,1,16,8.5,10
183,74.46,7.31,25.0,90,1,20,9.75,6
184,72.3,7.98,25.0,60,1,11,8.25,10
185,74.69,7.24,25.0,70,2,6,9.75,13
186,70.39,8.57,25.0,60,2,8,6.75,19
187,99.77,0.06,0.0,180,0,7,8.75,16
188,77.83,6.28,0.0,90,2,8,5.75,15
189,73.49,7.61,25.0,90,2,17,3.5,18
190,74.85,7.19,25.0,200,1,2,7.5,17
191,73.79,7.51,25.0,120,1,9,5.25,2
192,75.45,8.76,0.0,190,2,2,4.5,4
193,67.67,10.79,37.5,100,0,1,0.0,8
194,95.83,1.12,0.0,10,0,6,4.0,2
195,99.4,0.16,0.0,70,0,11,5.0,11
196,69.09,18.28,25.0,70,2,3,0.75,19
197,74.66,7.25,25.0,140,2,4,6.75,13
198,75.06,7.13,0.0,190,2,9,2.25,7
199,70.91,8.41,25.0,150,2,16,6.5,11
200,73.88,4.41,12.5,120,2,4,3.0,12
201,75.26,7.06,0.0,160,2,14,5.5,19
202,72.83,7.81,25.0,120,1,4,5.5,15
203,71.73,8.15,25.0,110,1,7,5.25,18
204,72.34,7.96,25.0,70,2,13,1.75,14
205,100.0,0.0,37.5,130,0,6,0.75,9
206,73.64,7.56,25.0,180,1,13,8.75,5
207,75.25,7.07,0.0,160,2,3,9.5,1
208,99.62,0.1,0.0,110,0,4,9.0,3
209,71.56,8.21,25.0,30,2,12,5.5,5
210,76.09,7.31,25.0,140,2,2,4.0,2
211,71.99,8.07,25.0,70,1,12,1.25,16
212,100.0,0.0,37.5,170,0,20,0.75,19
213,71.03,8.37,25.0,90,2,20,3.5,19
214,73.03,7.75,25.0,90,1,5,7.5,10
215,100.0,0.0,37.5,80,0,17,6.75,3
216,73.54,7.59,25.0,120,1,14,4.0,10
217,75.45,7.01,0.0,200,2,9,5.5,12
218,69.86,10.43,25.0,20,2,3,1.5,7
219,73.36,7.65,25.0,120,2,12,6.5,10
220,99.79,0.06,0.0,200,0,16,1.25,3
221,67.76,9.4,25.0,10,1,5,9.0,4
222,75.64,9.27,0.0,60,2,2,5.25,3
223,72.34,7.96,25.0,170,2,12,0.25,17
224,100.0,0.0,37.5,200,0,6,5.0,3
225,72.02,8.06,25.0,170,2,13,2.75,9
226,100.0,0.0,37.5,180,0,1,9.25,5
227,72.24,7.99,25.0,140,2,9,1.25,6
228,99.4,0.12,0.0,180,0,5,0.25,14
229,99.68,0.09,0.0,130,0,8,1.5,6
230,74.47,7.3,25.0,50,1,19,7.5,5
231,73.97,7.46,25.0,100,2,12,1.25,11
232,73.2,7.7,25.0,50,2,13,9.75,17
233,71.46,8.24,25.0,70,1,1,5.75,10
234,71.98,8.07,25.0,170,1,8,8.25,9
235,100.0,0.0,37.5,130,0,15,4.5,1
236,73.16,7.71,25.0,100,1,20,5.5,14
237,72.81,7.82,25.0,50,1,5,7.75,6
238,100.0,0.0,37.5,10,0,18,9.5,4
239,75.22,7.08,0.0,10,1,15,6.25,10
240,100.0,0.0,37.5,20,0,5,8.5,19
241,73.03,7.75,25.0,10,1,15,10.0,12
242,100.0,0.0,37.5,100,0,19,5.75,18
243,73.72,7.54,25.0,60,1,18,10.0,8
244,75.38,7.03,0.0,70,2,10,1.0,10
245,100.0,0.0,37.5,70,0,17,2.0,17
246,73.46,7.61,25.0,140,1,2,9.5,3
247,100.0,0.0,37.5,140,0,5,7.25,15
248,74.01,7.45,25.0,60,1,14,8.25,12
249,100.0,0.0,37.5,140,0,2,8.5,4
250,100.0,0.0,37.5,120,0,18,3.25,11
251,74.18,7.95,25.0,140,1,2,1.25,9
252,75.19,7.09,0.0,140,2,9,1.75,13
253,72.86,7.8,25.0,190,2,13,8.75,4
254,71.38,8.26,25.0,60,1,20,1.75,17
255,100.0,0.0,37.5,160,0,3,2.25,16
256,69.61,8.82,25.0,50,2,20,0.75,19
257,73.92,7.48,25.0,180,2,13,5.75,4
258,75.8,6.9,0.0,170,1,18,8.5,11
259,72.82,7.82,25.0,200,1,1,9.75,13
260,74.1,7.42,25.0,90,2,13,9.5,20
261,100.0,0.0,37.5,60,0,12,8.75,3
262,76.32,6.74,0.0,10,1,10,6.5,11
263,76.64,6.64,0.0,40,2,6,7.5,1
264,83.77,4.52,0.0,10,2,17,6.0,5
265,100.0,0.0,37.5,160,0,5,5.0,2
266,100.0,0.0,37.5,20,0,20,9.5,13
267,71.39,8.26,25.0,10,2,3,5.25,1
268,72.15,8.02,25.0,110,2,16,2.25,16
269,75.77,6.91,0.0,100,1,10,3.0,15
270,68.92,18.35,12.5,90,1,2,0.0,12
271,100.0,0.0,37.5,180,0,19,2.0,3
272,100.0,0.0,37.5,20,0,4,3.5,18
273,77.63,6.34,0.0,10,1,14,8.25,15
274,73.53,7.6,25.0,180,1,13,2.5,18
275,100.0,0.0,37.5,110,0,20,10.0,18
276,100.0,0.0,37.5,10,0,14,9.0,14
277,100.0,0.0,37.5,130,0,8,1.25,1
278,71.88,8.11,25.0,90,2,20,1.0,7
279,72.52,7.91,25.0,200,2,9,8.5,14
280,100.0,0.0,37.5,180,0,3,1.25,4
281,99.72,0.07,0.0,150,0,7,9.0,13
282,76.32,6.74,0.0,10,2,5,9.0,11
283,72.49,7.92,25.0,70,2,6,9.25,18
284,75.35,7.04,0.0,170,1,3,2.5,3
285,77.44,8.13,0.0,80,2,2,4.5,1
286,70.18,8.64,25.0,30,2,18,0.75,11
287,75.54,6.98,0.0,90,1,2,1.75,18
288,71.38,8.26,25.0,20,1,4,1.5,17
289,74.78,7.21,25.0,50,2,9,0.75,20
290,72.37,7.95,25.0,160,2,20,4.25,15
291,73.17,7.71,25.0,110,1,20,2.25,4
292,100.0,0.0,37.5,40,0,7,7.0,18
293,71.07,8.36,25.0,170,1,1,3.0,16
294,69.81,8.76,25.0,60,2,19,7.5,15
295,66.69,4.33,25.0,130,2,4,0.25,5
296,100.0,0.0,37.5,200,0,3,6.5,9
297,100.0,0.0,37.5,50,0,1,9.75,13
298,74.23,7.38,25.0,60,1,4,6.5,1
299,100.0,0.0,37.5,130,0,16,5.25,19
300,73.3,7.67,25.0,120,2,4,5.5,8
301,73.23,7.69,25.0,180,1,3,8.0,7
302,75.02,7.88,25.0,200,2,2,5.75,3
303,73.78,7.52,25.0,140,2,17,6.5,2
304,73.32,7.66,25.0,150,2,18,7.75,1
305,99.54,0.12,0.0,90,0,19,4.0,8
306,75.68,6.94,0.0,120,2,20,9.75,2
307,72.16,8.02,25.0,150,1,14,8.75,3
308,100.0,0.0,37.5,120,0,17,8.75,2
309,77.52,6.38,0.0,20,1,17,2.75,7
310,100.0,0.0,37.5,120,0,14,3.5,4
311,73.46,7.61,25.0,20,1,16,9.25,20
312,79.5,5.78,0.0,40,2,9,2.5,20
313,69.78,8.76,25.0,50,2,18,0.5,8
314,99.44,0.15,0.0,150,0,17,7.25,15
315,100.0,0.0,37.5,10,0,12,7.5,8
316,73.29,7.67,25.0,150,1,6,5.0,7
317,73.28,7.67,25.0,120,1,4,8.25,1
318,100.0,0.0,37.5,140,0,20,0.0,12
319,74.39,7.33,25.0,50,1,15,4.25,5
320,74.42,7.32,25.0,60,1,5,2.25,5
321,74.12,7.41,25.0,100,2,14,4.75,16
322,99.72,0.07,0.0,150,0,15,4.5,2
323,99.78,0.06,0.0,190,0,17,5.25,4
324,100.0,0.0,37.5,190,0,6,5.5,11
325,71.6,8.19,25.0,40,1,19,6.0,12
326,75.44,7.01,0.0,80,1,17,9.0,15
327,100.0,0.0,37.5,140,0,11,7.0,9
328,99.4,0.16,0.0,70,0,18,7.5,12
329,100.0,0.0,37.5,110,0,2,6.75,7
330,74.28,7.36,25.0,110,2,9,4.75,6
331,75.42,7.01,0.0,150,1,9,3.25,16
332,75.51,6.99,0.0,90,1,13,9.25,3
333,100.0,0.0,37.5,20,0,16,10.0,4
334,100.0,0.0,37.5,120,0,16,9.5,19
335,71.13,8.34,25.0,170,1,3,8.25,15
336,100.0,0.0,37.5,30,0,14,0.75,20
337,73.54,7.59,25.0,110,2,8,8.0,14
338,73.88,7.49,25.0,110,1,9,3.5,20
339,73.77,7.52,25.0,130,2,13,0.0,6
340,75.81,6.89,0.0,170,1,8,7.5,16
341,74.11,7.42,25.0,160,2,11,6.75,19
342,100.0,0.0,37.5,130,0,6,6.75,7
343,77.61,6.35,0.0,100,1,5,1.75,3
344,73.27,7.67,25.0,80,1,14,2.75,11
345,74.54,7.28,25.0,110,2,9,4.25,18
346,75.3,7.05,0.0,160,2,14,6.75,15
347,73.3,7.67,25.0,130,2,12,1.5,8
348,74.35,7.34,25.0,180,2,8,1.5,20
349,99.44,0.15,0.0,150,0,18,8.5,19
350,100.0,0.0,37.5,20,0,18,4.0,8
351,72.62,7.88,25.0,80,1,10,0.5,19
352,75.05,7.13,0.0,80,1,7,9.75,13
353,100.0,0.0,37.5,200,0,17,8.0,20
354,73.84,7.5,25.0,170,1,11,7.75,16
355,72.03,8.06,25.0,160,1,7,7.75,6
356,75.69,6.93,0.0,190,2,8,4.25,4
357,100.0,0.0,37.5,40,0,20,8.5,12
358,100.0,0.0,37.5,200,0,13,8.25,14
359,73.31,7.66,25.0,130,1,13,7.25,11
360,74.14,7.41,25.0,150,2,20,4.75,13
361,76.86,6.58,0.0,40,2,13,5.5,19
362,75.96,6.85,0.0,80,2,12,8.5,15
363,66.45,9.83,25.0,20,1,5,7.0,11
364,99.74,0.07,0.0,160,0,18,8.5,4
365,72.84,7.81,25.0,150,2,14,2.75,3
366,100.0,0.0,37.5,80,0,6,1.25,6
367,72.61,7.88,25.0,170,2,14,4.0,18
368,70.38,9.99,25.0,170,2,3,3.5,15
369,73.85,7.5,25.0,170,1,17,9.0,17
370,99.31,0.19,0.0,120,0,10,1.0,11
371,75.73,6.92,0.0,130,1,9,2.25,4
372,99.77,0.06,0.0,180,0,12,2.5,1
373,73.09,7.73,25.0,70,1,9,2.25,18
374,100.0,0.0,37.5,130,0,8,5.0,5
375,78.89,5.96,0.0,40,1,4,6.0,14
376,63.16,10.89,25.0,20,1,11,2.0,5
377,99.54,0.12,0.0,180,0,14,1.25,5
378,73.77,7.52,25.0,50,1,16,1.0,17
379,100.0,0.0,37.5,80,0,8,0.5,20
380,70.34,8.59,25.0,40,2,9,0.25,4
381,72.95,7.77,25.0,30,2,6,5.75,5
382,76.15,6.79,0.0,160,2,13,2.0,7
383,73.72,7.54,25.0,190,1,7,1.75,15
384,95.83,0.17,0.0,170,0,6,0.0,1
385,72.47,7.92,25.0,130,1,13,4.0,17
386,66.89,9.69,25.0,20,2,8,0.0,17
387,74.74,7.22,25.0,160,1,14,3.0,17
388,72.84,7.81,25.0,70,2,17,8.0,19
389,71.39,8.26,25.0,150,2,8,2.25,1
390,73.9,7.48,25.0,90,1,11,10.0,12
391,77.35,8.62,0.0,90,1,2,1.25,14
392,74.27,7.37,25.0,30,2,5,9.75,10
393,72.53,7.9,25.0,120,1,18,0.25,1
394,100.0,0.0,37.5,10,0,11,0.5,16
395,69.3,8.92,25.0,150,1,10,4.0,9
396,100.0,0.0,37.5,180,0,4,10.0,9
397,71.73,8.15,25.0,150,1,4,3.5,7
398,100.0,0.0,37.5,90,0,17,8.75,4
399,75.36,7.03,0.0,110,1,7,8.25,13
400,100.0,0.0,37.5,140,0,4,8.75,7
401,100.0,0.0,37.5,150,0,18,3.25,2
402,76.32,6.74,0.0,10,1,12,8.5,19
403,100.0,0.0,37.5,190,0,16,4.75,14
404,73.27,7.67,25.0,80,1,18,6.0,1
405,99.62,0.1,0.0,110,0,6,3.75,17
406,99.78,0.06,0.0,190,0,7,9.25,14
407,73.8,7.51,25.0,200,1,4,10.0,11
408,74.22,7.38,25.0,200,2,3,6.25,2
409,71.76,8.14,25.0,170,2,5,7.25,16
410,100.0,0.0,37.5,150,0,12,3.0,1
411,73.48,7.61,25.0,160,1,15,2.25,9
412,100.0,0.0,37.5,80,0,15,5.5,3
413,72.11,6.51,25.0,160,2,6,1.25,5
414,77.61,9.52,0.0,180,2,3,2.0,16
415,75.83,6.89,0.0,100,2,9,5.75,14
416,100.0,0.0,37.5,30,0,4,6.0,17
417,75.03,7.13,0.0,80,1,10,3.25,3
418,100.0,0.0,37.5,20,0,16,9.0,7
419,100.0,0.0,37.5,30,0,4,6.5,11
420,100.0,0.0,37.5,120,0,1,2.75,9
421,77.28,6.45,0.0,100,1,9,8.75,8
422,91.28,0.81,0.0,120,0,5,0.0,14
423,66.67,9.76,25.0,10,1,7,8.25,4
424,75.44,7.01,0.0,20,2,13,3.0,16
425,100.0,0.0,37.5,170,0,16,7.25,6
426,73.88,7.49,25.0,190,2,19,3.25,20
427,73.25,7.68,25.0,140,2,2,9.0,5
428,99.68,0.09,0.0,130,0,19,9.0,1
429,71.29,8.29,25.0,110,1,9,4.0,9
430,75.1,7.11,0.0,200,2,10,6.0,9
431,70.36,8.58,25.0,60,1,13,9.25,3
432,75.88,6.88,0.0,60,1,15,2.75,17
433,73.46,7.61,25.0,180,2,18,7.25,8
434,100.0,0.0,37.5,30,0,15,7.25,9
435,100.0,0.0,37.5,30,0,13,9.0,6
436,72.19,8.01,25.0,160,2,10,1.75,19
437,73.95,7.47,25.0,190,2,12,9.0,15
438,100.0,0.0,37.5,200,0,15,7.0,16
439,74.34,7.34,25.0,90,1,20,1.5,12
440,75.26,7.06,0.0,180,2,9,4.5,3
441,100.0,0.0,37.5,90,0,11,2.5,8
442,78.55,6.07,0.0,50,1,6,4.75,8
443,79.61,5.75,0.0,30,2,9,8.75,5
444,99.74,0.07,0.0,160,0,7,5.5,19
445,99.62,0.1,0.0,110,0,12,7.0,18
446,72.56,7.9,25.0,140,2,18,0.25,17
447,100.0,0.0,37.5,60,0,7,10.0,6
448,69.3,8.92,25.0,10,2,8,7.5,2
449,72.04,8.06,25.0,180,1,3,3.0,17
450,72.25,7.99,25.0,190,2,19,4.5,1
451,76.8,6.59,0.0,130,1,14,5.0,16
452,100.0,0.0,37.5,40,0,12,3.0,13
453,74.93,7.17,25.0,90,1,6,8.0,16
454,100.0,0.0,37.5,130,0,2,3.0,1
455,71.25,8.3,25.0,120,2,5,7.75,4
456,75.74,6.92,0.0,130,2,12,2.0,15
457,76.86,6.58,0.0,60,1,9,0.75,19
458,74.62,7.26,25.0,140,2,8,4.0,11
459,98.61,0.37,0.0,30,0,6,1.25,5
460,99.68,0.09,0.0,130,0,9,7.75,20
461,73.25,7.68,25.0,10,2,4,4.5,17
462,99.54,0.12,0.0,90,0,3,6.5,1
463,70.83,8.43,25.0,10,1,14,5.75,4
464,100.0,0.0,37.5,70,0,5,6.75,16
465,100.0,0.0,37.5,10,0,11,5.5,9
466,67.42,4.79,25.0,130,2,5,0.0,14
467,75.38,7.16,25.0,180,1,6,0.0,1
468,77.62,11.82,0.0,70,2,1,4.25,4
469,71.36,8.27,25.0,150,1,20,10.0,7
470,100.0,0.0,37.5,30,0,20,5.75,6
471,74.17,7.4,25.0,50,1,1,2.25,3
472,75.91,6.86,0.0,130,2,10,3.25,9
473,73.22,7.69,25.0,190,2,18,6.0,14
474,99.31,0.19,0.0,60,0,6,3.25,13
475,100.0,0.0,37.5,110,0,17,9.75,17
476,75.93,6.86,0.0,40,2,8,0.75,5
477,76.44,6.7,0.0,70,2,9,4.25,14
478,74.13,6.69,25.0,50,1,5,0.75,16
479,68.42,9.2,25.0,10,1,18,10.0,18
480,100.0,0.0,37.5,30,0,9,3.75,10
481,72.82,7.81,25.0,150,2,9,8.25,18
482,74.04,7.44,25.0,190,1,4,4.25,6
483,72.95,7.77,25.0,30,2,12,7.75,9
484,100.0,0.0,37.5,190,0,14,4.5,17
485,76.59,12.44,0.0,140,2,1,4.5,17
486,100.0,0.0,37.5,50,0,3,6.25,17
487,75.11,7.11,0.0,20,2,5,7.0,8
488,71.0,8.38,25.0,40,2,5,9.25,7
489,77.1,8.07,0.0,60,2,1,4.0,20
490,99.4,0.16,0.0,140,0,6,7.0,14
491,76.21,6.77,0.0,60,1,5,9.5,18
492,73.32,7.66,25.0,170,1,3,2.5,20
493,76.25,19.63,37.5,90,2,1,0.75,19
494,68.99,9.01,25.0,50,2,10,7.75,9
495,72.66,7.87,25.0,130,1,11,0.0,16
496,73.77,7.52,25.0,180,1,6,1.25,9
497,70.91,8.41,25.0,30,2,19,6.25,8
498,70.19,8.28,25.0,100,2,6,1.5,9
499,75.24,7.07,0.0,200,2,10,4.75,5
500,75.37,7.03,0.0,120,1,12,2.0,7
501,99.72,0.07,0.0,150,0,14,4.75,6
502,100.0,0.0,37.5,100,0,3,1.25,3
503,100.0,0.0,37.5,170,0,15,8.75,14
504,100.0,0.0,37.5,70,0,17,4.25,9
505,100.0,0.0,37.5,40,0,13,6.5,13
506,99.78,0.06,0.0,190,0,1,4.5,5
507,73.84,7.5,25.0,180,2,8,2.75,8
508,100.0,0.0,37.5,10,0,11,0.0,20
509,75.5,6.99,0.0,70,2,16,0.0,18
510,74.95,6.86,25.0,40,2,5,1.75,7
511,75.07,7.12,0.0,90,1,9,9.75,17
512,100.0,0.0,37.5,80,0,18,6.5,5
513,100.0,0.0,37.5,90,0,15,1.75,19
514,74.99,7.15,25.0,170,2,10,4.25,18
515,73.0,9.23,25.0,50,2,4,2.0,18
516,100.0,0.0,37.5,190,0,11,6.5,16
517,100.0,0.0,37.5,190,0,15,0.5,20
518,69.5,7.18,25.0,20,1,3,0.5,5
519,100.0,0.0,37.5,110,0,9,2.0,2
520,99.62,0.1,0.0,110,0,1,6.0,15
521,69.17,8.96,25.0,50,2,20,7.5,2
522,99.7,0.08,0.0,140,0,1,6.75,16
523,74.16,7.4,25.0,60,1,14,8.5,5
524,99.58,0.11,0.0,100,0,15,5.0,11
525,72.59,7.89,25.0,70,1,15,5.25,6
526,73.4,7.63,25.0,180,1,16,9.25,5
527,74.01,7.45,25.0,180,2,7,10.0,10
528,73.33,7.66,25.0,180,1,15,0.75,18
529,74.7,7.24,25.0,160,1,14,0.5,3
530,100.0,0.0,37.5,200,0,1,10.0,15
531,73.71,6.8,25.0,190,0,3,0.0,3
532,79.17,5.88,0.0,30,1,17,6.25,8
533,100.0,0.0,37.5,150,0,8,8.5,8
